,date,close_price_usd,dow,week,rolling_3_day_average_closing_price_usd,rolling_7_day_average_closing_price_usd
328,2019-11-24,6903.28,6,2019-11-18,7056.330000000023,7339.79571428572
329,2019-11-23,7311.57,5,2019-11-18,7108.140000000022,7306.892857142863
330,2019-11-22,7268.23,4,2019-11-18,7161.026666666689,7239.542857142863
331,2019-11-21,7627.74,3,2019-11-18,7402.513333333355,7269.292857142863
332,2019-11-20,8098.01,2,2019-11-18,7664.660000000023,7353.5057142857195
333,2019-11-19,8133.64,1,2019-11-18,7953.130000000023,7493.148571428576
334,2019-11-18,8187.17,0,2019-11-18,8139.606666666691,7647.091428571433
335,2019-11-17,8502.4,6,2019-11-11,8274.403333333357,7875.537142857148
336,2019-11-16,8491.02,5,2019-11-11,8393.530000000022,8044.030000000006
337,2019-11-15,8471.73,4,2019-11-11,8488.383333333355,8215.958571428579
338,2019-11-14,8646.68,3,2019-11-11,8536.47666666669,8361.521428571436
339,2019-11-13,8777.12,2,2019-11-11,8631.843333333356,8458.537142857149
340,2019-11-12,8821.94,1,2019-11-11,8748.580000000022,8556.865714285721
341,2019-11-11,8733.27,0,2019-11-11,8777.443333333356,8634.880000000006
342,2019-11-10,9039.47,6,2019-11-04,8864.893333333355,8711.604285714293
343,2019-11-09,8809.41,5,2019-11-04,8860.716666666689,8757.088571428578
344,2019-11-08,8773.73,4,2019-11-04,8874.203333333355,8800.231428571435
345,2019-11-07,9216.2,3,2019-11-04,8933.113333333355,8881.591428571433
346,2019-11-06,9339.05,2,2019-11-04,9109.66000000002,8961.867142857147
347,2019-11-05,9308.66,1,2019-11-04,9287.97000000002,9031.398571428575
348,2019-11-04,9393.35,0,2019-11-04,9347.02000000002,9125.695714285717
349,2019-11-03,9194.71,6,2019-10-28,9298.906666666688,9147.87285714286
350,2019-11-02,9289.52,5,2019-10-28,9292.526666666688,9216.460000000003
351,2019-11-01,9231.61,4,2019-10-28,9238.613333333355,9281.871428571432
352,2019-10-31,9140.85,3,2019-10-28,9220.66000000002,9271.107142857147
353,2019-10-30,9154.72,2,2019-10-28,9175.726666666687,9244.77428571429
354,2019-10-29,9407.62,1,2019-10-28,9234.396666666687,9258.911428571431
355,2019-10-28,9205.14,0,2019-10-28,9255.826666666688,9232.02428571429
356,2019-10-27,9529.93,6,2019-10-21,9380.896666666687,9279.912857142861
357,2019-10-26,9230.0,5,2019-10-21,9321.690000000019,9271.410000000002
358,2019-10-25,8655.02,4,2019-10-21,9138.316666666686,9189.040000000003
359,2019-10-24,7412.41,3,2019-10-21,8432.476666666686,8942.120000000003
360,2019-10-23,7466.62,2,2019-10-21,7844.6833333333525,8700.96285714286
361,2019-10-22,8020.0,1,2019-10-21,7633.010000000019,8502.731428571431
362,2019-10-21,8197.27,0,2019-10-21,7894.630000000019,8358.750000000002
363,2019-10-20,8223.35,6,2019-10-14,8146.873333333352,8172.095714285717
364,2019-10-19,7948.01,5,2019-10-14,8122.876666666685,7988.954285714289
365,2019-10-18,7947.01,4,2019-10-14,8039.456666666686,7887.810000000004
366,2019-10-17,8070.58,3,2019-10-14,7988.533333333352,7981.83428571429
367,2019-10-16,7991.74,2,2019-10-14,8003.110000000018,8056.851428571432
368,2019-10-15,8159.29,1,2019-10-14,8073.870000000017,8076.750000000003
369,2019-10-14,8348.2,0,2019-10-14,8166.410000000018,8098.311428571432
370,2019-10-13,8275.01,6,2019-10-07,8260.833333333352,8105.691428571432
371,2019-10-12,8300.09,5,2019-10-07,8307.766666666685,8155.988571428575
372,2019-10-11,8258.5,4,2019-10-07,8277.866666666685,8200.487142857146
373,2019-10-10,8558.03,3,2019-10-07,8372.206666666685,8270.12285714286
374,2019-10-09,8560.74,2,2019-10-07,8459.090000000017,8351.408571428574
375,2019-10-08,8168.39,1,2019-10-07,8429.053333333351,8352.708571428575
376,2019-10-07,8190.09,0,2019-10-07,8306.406666666686,8330.121428571434
377,2019-10-06,7854.25,6,2019-09-30,8070.910000000021,8270.012857142861
378,2019-10-05,8126.19,5,2019-09-30,8056.843333333353,8245.170000000004
379,2019-10-04,8137.13,4,2019-09-30,8039.1900000000205,8227.831428571433
380,2019-10-03,8223.96,3,2019-09-30,8162.426666666687,8180.107142857147
381,2019-10-02,8359.94,2,2019-09-30,8240.343333333354,8151.421428571433
382,2019-10-01,8292.44,1,2019-09-30,8292.113333333353,8169.142857142862
383,2019-09-30,8289.34,0,2019-09-30,8313.906666666686,8183.321428571435
384,2019-09-29,8043.82,6,2019-09-23,8208.533333333353,8210.402857142863
385,2019-09-28,8198.81,5,2019-09-23,8177.323333333351,8220.777142857149
386,2019-09-27,8177.91,4,2019-09-23,8140.180000000018,8226.602857142865
387,2019-09-26,8063.73,3,2019-09-23,8146.816666666684,8203.712857142866
388,2019-09-25,8430.05,2,2019-09-23,8223.896666666684,8213.728571428579
389,2019-09-24,8493.14,1,2019-09-23,8328.973333333352,8242.400000000007
390,2019-09-23,9702.25,0,2019-09-23,8875.146666666686,8444.244285714292
391,2019-09-22,10028.87,6,2019-09-16,9408.086666666686,8727.822857142864
392,2019-09-21,9986.39,5,2019-09-16,9905.836666666684,8983.191428571436
393,2019-09-20,10168.59,4,2019-09-16,10061.28333333335,9267.574285714292
394,2019-09-19,10244.29,3,2019-09-16,10133.090000000017,9579.082857142866
395,2019-09-18,10156.99,2,2019-09-16,10189.956666666681,9825.78857142858
396,2019-09-17,10187.82,1,2019-09-16,10196.366666666681,10067.885714285721
397,2019-09-16,10251.31,0,2019-09-16,10198.706666666681,10146.322857142864
398,2019-09-15,10302.01,6,2019-09-09,10247.046666666683,10185.342857142865
399,2019-09-14,10335.02,5,2019-09-09,10296.11333333335,10235.147142857151
400,2019-09-13,10342.06,4,2019-09-09,10326.36333333335,10259.92857142858
401,2019-09-12,10415.01,3,2019-09-09,10364.030000000015,10284.317142857151
402,2019-09-11,10158.33,2,2019-09-09,10305.13333333335,10284.50857142858
403,2019-09-10,10098.15,1,2019-09-09,10223.830000000016,10271.698571428578
404,2019-09-09,10303.12,0,2019-09-09,10186.53333333335,10279.100000000006
405,2019-09-08,10381.18,6,2019-09-02,10260.816666666682,10290.410000000005
406,2019-09-07,10455.88,5,2019-09-02,10380.060000000014,10307.67571428572
407,2019-09-06,10298.73,4,2019-09-02,10378.59666666668,10301.48571428572
408,2019-09-05,10564.49,3,2019-09-02,10439.700000000013,10322.840000000007
409,2019-09-04,10567.02,2,2019-09-02,10476.74666666668,10381.224285714294
410,2019-09-03,10615.28,1,2019-09-02,10582.263333333347,10455.100000000008
411,2019-09-02,10340.0,0,2019-09-02,10507.433333333347,10460.36857142858
412,2019-09-01,9724.98,6,2019-08-26,10226.753333333347,10366.625714285723
413,2019-08-31,9587.47,5,2019-08-26,9884.150000000014,10242.567142857151
414,2019-08-30,9584.54,4,2019-08-26,9632.330000000014,10140.54000000001
415,2019-08-29,9498.44,3,2019-08-26,9556.816666666682,9988.247142857153
416,2019-08-28,9721.0,2,2019-08-26,9601.32666666668,9867.387142857153
417,2019-08-27,10185.05,1,2019-08-26,9801.49666666668,9805.925714285724
418,2019-08-26,10372.25,0,2019-08-26,10092.76666666668,9810.532857142867
419,2019-08-25,10142.69,6,2019-08-19,10233.330000000014,9870.205714285725
420,2019-08-24,10134.35,5,2019-08-19,10216.430000000013,9948.33142857144
421,2019-08-23,10389.55,4,2019-08-19,10222.19666666668,10063.332857142868
422,2019-08-22,10099.88,3,2019-08-19,10207.926666666679,10149.252857142868
423,2019-08-21,10142.57,2,2019-08-19,10210.666666666679,10209.477142857155
424,2019-08-20,10760.51,1,2019-08-19,10334.320000000012,10291.685714285724
425,2019-08-19,10915.54,0,2019-08-19,10606.206666666681,10369.298571428584
426,2019-08-18,10306.78,6,2019-08-12,10660.943333333349,10392.74000000001
427,2019-08-17,10216.02,5,2019-08-12,10479.446666666683,10404.407142857153
428,2019-08-16,10331.54,4,2019-08-12,10284.780000000015,10396.12000000001
429,2019-08-15,10293.93,3,2019-08-12,10280.496666666682,10423.841428571439
430,2019-08-14,10050.37,2,2019-08-12,10225.280000000017,10410.67000000001
431,2019-08-13,10892.71,1,2019-08-12,10412.336666666683,10429.555714285723
432,2019-08-12,11396.08,0,2019-08-12,10779.720000000016,10498.204285714293
433,2019-08-11,11549.97,6,2019-08-05,11279.586666666683,10675.802857142864
434,2019-08-10,11309.31,5,2019-08-05,11418.453333333347,10831.98714285715
435,2019-08-09,11879.99,4,2019-08-05,11579.75666666668,11053.194285714291
436,2019-08-08,11999.77,3,2019-08-05,11729.690000000011,11296.88571428572
437,2019-08-07,11975.03,2,2019-08-05,11951.596666666679,11571.83714285715
438,2019-08-06,11481.69,1,2019-08-05,11818.830000000014,11655.977142857151
439,2019-08-05,11828.8,0,2019-08-05,11761.840000000011,11717.794285714293
440,2019-08-04,10929.23,6,2019-07-29,11413.24000000001,11629.11714285715
441,2019-08-03,10816.86,5,2019-07-29,11191.63000000001,11558.76714285715
442,2019-08-02,10523.75,4,2019-07-29,10756.613333333344,11365.018571428578
443,2019-08-01,10374.99,3,2019-07-29,10571.866666666678,11132.90714285715
444,2019-07-31,10080.53,2,2019-07-29,10326.423333333345,10862.264285714293
445,2019-07-30,9574.21,1,2019-07-29,10009.91000000001,10589.76714285715
446,2019-07-29,9507.64,0,2019-07-29,9720.793333333344,10258.172857142865
447,2019-07-28,9541.54,6,2019-07-22,9541.130000000012,10059.931428571437
448,2019-07-27,9476.52,5,2019-07-22,9508.566666666678,9868.454285714295
449,2019-07-26,9824.0,4,2019-07-22,9614.020000000011,9768.490000000009
450,2019-07-25,9879.87,3,2019-07-22,9726.796666666678,9697.75857142858
451,2019-07-24,9763.28,2,2019-07-22,9822.383333333344,9652.43714285715
452,2019-07-23,9864.91,1,2019-07-22,9836.020000000011,9693.965714285723
453,2019-07-22,10340.31,0,2019-07-22,9989.50000000001,9812.918571428581
454,2019-07-21,10589.45,6,2019-07-15,10264.890000000009,9962.620000000008
455,2019-07-20,10740.23,5,2019-07-15,10556.663333333341,10143.150000000007
456,2019-07-19,10504.29,4,2019-07-15,10611.323333333343,10240.334285714294
457,2019-07-18,10627.16,3,2019-07-15,10623.893333333344,10347.09000000001
458,2019-07-17,9667.92,2,2019-07-15,10266.456666666678,10333.467142857151
459,2019-07-16,9439.59,1,2019-07-15,9911.556666666678,10272.70714285715
